mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.03298139572143555,0.004997730255126953,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.7515714285714286,93,1.0
0.057967185974121094,0.007995367050170898,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.7631428571428571,80,1.0
0.08694958686828613,0.010993242263793945,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.7807142857142857,63,1.0
0.11393332481384277,0.0159909725189209,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.7964285714285714,5,1.0
0.13592290878295898,0.017989397048950195,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.7885714285714286,28,1.0
0.16490554809570312,0.020987749099731445,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.792,14,1.0
0.19488763809204102,0.02498793601989746,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.7962857142857143,6,1.0
0.21287894248962402,0.02898263931274414,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.7975714285714286,4,1.0
0.23986387252807617,0.031981468200683594,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.7937142857142857,10,1.0
0.26384854316711426,0.03598189353942871,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.7981428571428572,3,1.0
0.03298044204711914,0.005998373031616211,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.6942857142857143,110,0.9997142857142857
0.06296253204345703,0.008995771408081055,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.7525714285714286,92,1.0
0.09194755554199219,0.01199483871459961,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.768,78,1.0
0.11493468284606934,0.014991283416748047,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.7787142857142857,68,1.0
0.14491558074951172,0.018989086151123047,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.7814285714285715,62,1.0
0.16990327835083008,0.021989107131958008,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.7841428571428571,55,1.0
0.19888734817504883,0.026984214782714844,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.7934285714285715,13,1.0
0.22886967658996582,0.02998805046081543,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.7902857142857143,21,1.0
0.25585317611694336,0.03198361396789551,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.7864285714285715,41,1.0
0.27784061431884766,0.034980058670043945,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.7862857142857143,42,1.0
0.03497958183288574,0.005997180938720703,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.697,109,1.0
0.06296610832214355,0.009996891021728516,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.755,91,1.0
0.09294748306274414,0.013991832733154297,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.7615714285714286,82,1.0
0.11693215370178223,0.014992952346801758,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.7737142857142857,72,1.0
0.14691686630249023,0.019988536834716797,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.778,70,1.0
0.17489910125732422,0.022988080978393555,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.7865714285714286,39,1.0
0.20288348197937012,0.024986982345581055,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.7958571428571428,8,1.0
0.23186635971069336,0.029983997344970703,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.7915714285714286,15,1.0
0.2648465633392334,0.03298211097717285,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.7877142857142857,34,1.0
0.2828385829925537,0.03697800636291504,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.7881428571428571,32,1.0
0.0359797477722168,0.006000518798828125,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.7171428571428572,105,1.0
0.06196284294128418,0.008997201919555664,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.7605714285714286,83,1.0
0.095947265625,0.013989925384521484,8.0,15.0,"{'max_depth': 8, 'n_estimators': 15}",0.7785714285714286,69,1.0
0.11993193626403809,0.015991687774658203,8.0,20.0,"{'max_depth': 8, 'n_estimators': 20}",0.7887142857142857,27,1.0
0.15291142463684082,0.018991947174072266,8.0,25.0,"{'max_depth': 8, 'n_estimators': 25}",0.7961428571428572,7,1.0
0.17889642715454102,0.02298760414123535,8.0,30.0,"{'max_depth': 8, 'n_estimators': 30}",0.8014285714285714,2,1.0
0.20688128471374512,0.0259859561920166,8.0,35.0,"{'max_depth': 8, 'n_estimators': 35}",0.8032857142857143,1,1.0
0.23686599731445312,0.029981374740600586,8.0,40.0,"{'max_depth': 8, 'n_estimators': 40}",0.7908571428571428,20,1.0
0.2728450298309326,0.03298187255859375,8.0,45.0,"{'max_depth': 8, 'n_estimators': 45}",0.7875714285714286,35,1.0
0.29383111000061035,0.03598141670227051,8.0,50.0,"{'max_depth': 8, 'n_estimators': 50}",0.791,19,1.0
0.0359799861907959,0.0059964656829833984,9.0,5.0,"{'max_depth': 9, 'n_estimators': 5}",0.7045714285714286,108,1.0
0.06196451187133789,0.008996725082397461,9.0,10.0,"{'max_depth': 9, 'n_estimators': 10}",0.7397142857142858,99,1.0
0.09494543075561523,0.01299285888671875,9.0,15.0,"{'max_depth': 9, 'n_estimators': 15}",0.7581428571428571,89,1.0
0.11793208122253418,0.01599287986755371,9.0,20.0,"{'max_depth': 9, 'n_estimators': 20}",0.764,79,1.0
0.1489114761352539,0.019991397857666016,9.0,25.0,"{'max_depth': 9, 'n_estimators': 25}",0.7798571428571428,64,1.0
0.17490005493164062,0.02398848533630371,9.0,30.0,"{'max_depth': 9, 'n_estimators': 30}",0.785,45,1.0
0.20788025856018066,0.026986360549926758,9.0,35.0,"{'max_depth': 9, 'n_estimators': 35}",0.7937142857142857,10,1.0
0.23586153984069824,0.028982877731323242,9.0,40.0,"{'max_depth': 9, 'n_estimators': 40}",0.7798571428571428,64,1.0
0.26184868812561035,0.03298139572143555,9.0,45.0,"{'max_depth': 9, 'n_estimators': 45}",0.779,67,1.0
0.29583168029785156,0.0359797477722168,9.0,50.0,"{'max_depth': 9, 'n_estimators': 50}",0.7828571428571428,58,1.0
0.0359799861907959,0.005998134613037109,10.0,5.0,"{'max_depth': 10, 'n_estimators': 5}",0.7107142857142857,106,1.0
0.06296205520629883,0.009995460510253906,10.0,10.0,"{'max_depth': 10, 'n_estimators': 10}",0.7491428571428571,94,1.0
0.09494543075561523,0.012994050979614258,10.0,15.0,"{'max_depth': 10, 'n_estimators': 15}",0.7591428571428571,88,1.0
0.11793208122253418,0.01599287986755371,10.0,20.0,"{'max_depth': 10, 'n_estimators': 20}",0.7701428571428571,77,1.0
0.15091347694396973,0.018988847732543945,10.0,25.0,"{'max_depth': 10, 'n_estimators': 25}",0.7845714285714286,47,1.0
0.17589974403381348,0.023986339569091797,10.0,30.0,"{'max_depth': 10, 'n_estimators': 30}",0.7865714285714286,39,1.0
0.2108783721923828,0.02898883819580078,10.0,35.0,"{'max_depth': 10, 'n_estimators': 35}",0.7938571428571428,9,1.0
0.23486614227294922,0.029983043670654297,10.0,40.0,"{'max_depth': 10, 'n_estimators': 40}",0.7838571428571428,56,1.0
0.2648487091064453,0.03298068046569824,10.0,45.0,"{'max_depth': 10, 'n_estimators': 45}",0.7828571428571428,58,1.0
0.28783583641052246,0.03497886657714844,10.0,50.0,"{'max_depth': 10, 'n_estimators': 50}",0.7857142857142857,43,1.0
0.036980390548706055,0.005999326705932617,11.0,5.0,"{'max_depth': 11, 'n_estimators': 5}",0.708,107,1.0
0.06395339965820312,0.008997201919555664,11.0,10.0,"{'max_depth': 11, 'n_estimators': 10}",0.7384285714285714,100,1.0
0.09694433212280273,0.012993335723876953,11.0,15.0,"{'max_depth': 11, 'n_estimators': 15}",0.7575714285714286,90,1.0
0.11893224716186523,0.015990495681762695,11.0,20.0,"{'max_depth': 11, 'n_estimators': 20}",0.763,81,1.0
0.14791417121887207,0.018991470336914062,11.0,25.0,"{'max_depth': 11, 'n_estimators': 25}",0.7828571428571428,58,1.0
0.18189644813537598,0.024985074996948242,11.0,30.0,"{'max_depth': 11, 'n_estimators': 30}",0.7848571428571428,46,1.0
0.21187877655029297,0.025986194610595703,11.0,35.0,"{'max_depth': 11, 'n_estimators': 35}",0.7881428571428571,32,1.0
0.23286700248718262,0.02898406982421875,11.0,40.0,"{'max_depth': 11, 'n_estimators': 40}",0.7765714285714286,71,1.0
0.2648477554321289,0.033980369567871094,11.0,45.0,"{'max_depth': 11, 'n_estimators': 45}",0.7792857142857142,66,1.0
0.29582977294921875,0.03898000717163086,11.0,50.0,"{'max_depth': 11, 'n_estimators': 50}",0.7837142857142857,57,1.0
0.036978960037231445,0.00499725341796875,12.0,5.0,"{'max_depth': 12, 'n_estimators': 5}",0.724,101,1.0
0.06396198272705078,0.007996320724487305,12.0,10.0,"{'max_depth': 12, 'n_estimators': 10}",0.749,95,1.0
0.09494519233703613,0.012993574142456055,12.0,15.0,"{'max_depth': 12, 'n_estimators': 15}",0.7594285714285715,84,1.0
0.11893272399902344,0.01599431037902832,12.0,20.0,"{'max_depth': 12, 'n_estimators': 20}",0.771,73,1.0
0.14891529083251953,0.018991708755493164,12.0,25.0,"{'max_depth': 12, 'n_estimators': 25}",0.7902857142857143,21,1.0
0.17989635467529297,0.022987842559814453,12.0,30.0,"{'max_depth': 12, 'n_estimators': 30}",0.789,26,1.0
0.20588374137878418,0.030979633331298828,12.0,35.0,"{'max_depth': 12, 'n_estimators': 35}",0.7937142857142857,10,1.0
0.23586583137512207,0.03098320960998535,12.0,40.0,"{'max_depth': 12, 'n_estimators': 40}",0.7845714285714286,47,1.0
0.2668488025665283,0.03498053550720215,12.0,45.0,"{'max_depth': 12, 'n_estimators': 45}",0.782,61,1.0
0.2908341884613037,0.035981178283691406,12.0,50.0,"{'max_depth': 12, 'n_estimators': 50}",0.7852857142857143,44,1.0
0.039972782135009766,0.004999876022338867,13.0,5.0,"{'max_depth': 13, 'n_estimators': 5}",0.724,101,1.0
0.06096386909484863,0.008997678756713867,13.0,10.0,"{'max_depth': 13, 'n_estimators': 10}",0.749,95,1.0
0.09294605255126953,0.0139923095703125,13.0,15.0,"{'max_depth': 13, 'n_estimators': 15}",0.7594285714285715,84,1.0
0.11793231964111328,0.0159914493560791,13.0,20.0,"{'max_depth': 13, 'n_estimators': 20}",0.771,73,1.0
0.14891505241394043,0.02098846435546875,13.0,25.0,"{'max_depth': 13, 'n_estimators': 25}",0.7902857142857143,21,1.0
0.17789793014526367,0.023987770080566406,13.0,30.0,"{'max_depth': 13, 'n_estimators': 30}",0.787,36,1.0
0.20587754249572754,0.029985427856445312,13.0,35.0,"{'max_depth': 13, 'n_estimators': 35}",0.7914285714285715,16,1.0
0.2368636131286621,0.029984235763549805,13.0,40.0,"{'max_depth': 13, 'n_estimators': 40}",0.7842857142857143,49,1.0
0.266848087310791,0.03198099136352539,13.0,45.0,"{'max_depth': 13, 'n_estimators': 45}",0.7842857142857143,49,1.0
0.2948288917541504,0.0359799861907959,13.0,50.0,"{'max_depth': 13, 'n_estimators': 50}",0.7882857142857143,29,1.0
0.03697776794433594,0.005997419357299805,14.0,5.0,"{'max_depth': 14, 'n_estimators': 5}",0.724,101,1.0
0.06496286392211914,0.00899648666381836,14.0,10.0,"{'max_depth': 14, 'n_estimators': 10}",0.749,95,1.0
0.09194588661193848,0.012993335723876953,14.0,15.0,"{'max_depth': 14, 'n_estimators': 15}",0.7594285714285715,84,1.0
0.11993026733398438,0.014992237091064453,14.0,20.0,"{'max_depth': 14, 'n_estimators': 20}",0.771,73,1.0
0.15091586112976074,0.019988298416137695,14.0,25.0,"{'max_depth': 14, 'n_estimators': 25}",0.7902857142857143,21,1.0
0.18489527702331543,0.023989200592041016,14.0,30.0,"{'max_depth': 14, 'n_estimators': 30}",0.787,36,1.0
0.20488381385803223,0.027985095977783203,14.0,35.0,"{'max_depth': 14, 'n_estimators': 35}",0.7914285714285715,16,1.0
0.23186683654785156,0.02998495101928711,14.0,40.0,"{'max_depth': 14, 'n_estimators': 40}",0.7842857142857143,49,1.0
0.26184940338134766,0.035981178283691406,14.0,45.0,"{'max_depth': 14, 'n_estimators': 45}",0.7842857142857143,49,1.0
0.28983378410339355,0.0359797477722168,14.0,50.0,"{'max_depth': 14, 'n_estimators': 50}",0.7882857142857143,29,1.0
0.0379796028137207,0.005999326705932617,15.0,5.0,"{'max_depth': 15, 'n_estimators': 5}",0.724,101,1.0
0.06396102905273438,0.008996248245239258,15.0,10.0,"{'max_depth': 15, 'n_estimators': 10}",0.749,95,1.0
0.09394526481628418,0.012994050979614258,15.0,15.0,"{'max_depth': 15, 'n_estimators': 15}",0.7594285714285715,84,1.0
0.11993288993835449,0.018987417221069336,15.0,20.0,"{'max_depth': 15, 'n_estimators': 20}",0.771,73,1.0
0.14991402626037598,0.0199892520904541,15.0,25.0,"{'max_depth': 15, 'n_estimators': 25}",0.7902857142857143,21,1.0
0.17989635467529297,0.02298736572265625,15.0,30.0,"{'max_depth': 15, 'n_estimators': 30}",0.787,36,1.0
0.20688104629516602,0.0259859561920166,15.0,35.0,"{'max_depth': 15, 'n_estimators': 35}",0.7914285714285715,16,1.0
0.23586583137512207,0.0299832820892334,15.0,40.0,"{'max_depth': 15, 'n_estimators': 40}",0.7842857142857143,49,1.0
0.2518734931945801,0.030977487564086914,15.0,45.0,"{'max_depth': 15, 'n_estimators': 45}",0.7842857142857143,49,1.0
0.27785539627075195,0.0339808464050293,15.0,50.0,"{'max_depth': 15, 'n_estimators': 50}",0.7882857142857143,29,1.0
