mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.015626192092895508,0.01562356948852539,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.7988571428571428,108,0.999
0.0468745231628418,0.015624523162841797,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8411428571428572,90,1.0
0.07811999320983887,0.0,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8581428571428571,20,1.0
0.09374642372131348,0.01562356948852539,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8747142857142857,9,1.0
0.12499165534973145,0.031248807907104492,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8702857142857143,12,1.0
0.15623784065246582,0.015623807907104492,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8672857142857143,14,1.0
0.17186307907104492,0.03125,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8735714285714286,10,1.0
0.2031095027923584,0.0312497615814209,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8694285714285714,13,1.0
0.2187356948852539,0.031247377395629883,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.866,17,1.0
0.2343587875366211,0.046872615814208984,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8661428571428571,16,1.0
0.03125,0.0,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.8095714285714286,100,0.9981428571428571
0.062494516372680664,0.0,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8404285714285714,91,1.0
0.07811760902404785,0.015626192092895508,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8672857142857143,14,1.0
0.09374284744262695,0.015625,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8705714285714286,11,1.0
0.12499022483825684,0.015624523162841797,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8581428571428571,20,1.0
0.15624380111694336,0.015618085861206055,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8575714285714285,22,1.0
0.17186498641967773,0.031249046325683594,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8637142857142858,18,1.0
0.203108549118042,0.031250715255737305,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8554285714285714,26,1.0
0.23435616493225098,0.031248092651367188,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.859,19,1.0
