mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.03110480308532715,0.00577855110168457,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.8441428571428572,77,0.9998571428571429
0.05684375762939453,0.010078907012939453,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.877,14,1.0
0.08472919464111328,0.012124776840209961,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.874,23,1.0
0.12559938430786133,0.016132116317749023,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.871,40,1.0
0.13757562637329102,0.019794940948486328,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8832857142857143,2,1.0
0.16726994514465332,0.021528244018554688,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.884,1,1.0
0.17428898811340332,0.03125715255737305,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8828571428571429,5,1.0
0.20460104942321777,0.03124833106994629,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8825714285714286,7,1.0
0.22658085823059082,0.031247854232788086,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8831428571428571,3,1.0
0.2343587875366211,0.047260284423828125,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8827142857142857,6,1.0
0.03125119209289551,0.015631914138793945,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.7992857142857143,110,1.0
0.0520932674407959,0.015625,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.859,66,1.0
0.08075284957885742,0.0,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8557142857142858,69,1.0
0.10936760902404785,0.0156252384185791,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8522857142857143,74,1.0
0.12499189376831055,0.015625476837158203,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.865,57,1.0
0.15623760223388672,0.031247854232788086,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8735714285714286,24,1.0
0.17186260223388672,0.0312502384185791,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8824285714285715,8,1.0
0.23517107963562012,0.03290581703186035,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8774285714285714,12,1.0
0.2416677474975586,0.033006906509399414,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.8762857142857143,16,1.0
0.2718527317047119,0.04210519790649414,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.8817142857142857,11,1.0
0.04080462455749512,0.006465435028076172,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.8254285714285714,91,1.0
