mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.031232357025146484,0.0,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.743,107,0.993
0.046854257583618164,0.01562643051147461,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8468571428571429,82,0.9994285714285714
0.07810235023498535,0.01562666893005371,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8818571428571429,51,1.0
0.10934925079345703,0.015625476837158203,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8835714285714286,46,1.0
0.12499117851257324,0.03124713897705078,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.9007142857142857,15,1.0
0.15623784065246582,0.031249284744262695,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.9001428571428571,16,1.0
0.17186641693115234,0.031247854232788086,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.908,10,0.9998571428571429
0.2031092643737793,0.031249523162841797,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.9027142857142857,13,0.9995714285714286
0.2187349796295166,0.03124856948852539,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.9115714285714286,8,0.9998571428571429
0.2499828338623047,0.03124856948852539,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.9135714285714286,5,1.0
0.03124690055847168,0.015623807907104492,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.7591428571428571,100,0.9991428571428571
0.04687070846557617,0.015624523162841797,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8154285714285714,91,0.9998571428571429
0.09374380111694336,0.015624761581420898,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.856,79,0.9995714285714286
0.10936522483825684,0.015625715255737305,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8795714285714286,59,0.9998571428571429
0.12499165534973145,0.031246662139892578,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8972857142857142,20,1.0
0.15623927116394043,0.01562356948852539,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.908,10,1.0
0.17186546325683594,0.031247615814208984,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.9128571428571428,6,1.0
0.2187352180480957,0.031247377395629883,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.9148571428571428,4,1.0
0.24998235702514648,0.03124833106994629,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.9221428571428572,2,1.0
0.2656097412109375,0.031245946884155273,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.9281428571428572,1,1.0
