mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.03125119209289551,0.0,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.7515714285714286,110,0.9977142857142857
0.04687356948852539,0.015624761581420898,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8452857142857143,96,0.9995714285714286
0.07812047004699707,0.015626192092895508,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8607142857142858,81,0.9995714285714286
0.10937023162841797,0.015623807907104492,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8692857142857143,64,0.9998571428571429
0.12499213218688965,0.01562952995300293,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8794285714285714,30,1.0
0.14061737060546875,0.015624284744262695,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8831428571428571,19,1.0
0.17186331748962402,0.015623807907104492,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8808571428571429,29,0.9998571428571429
0.2031102180480957,0.031248807907104492,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8864285714285715,8,0.9998571428571429
0.23436331748962402,0.031246185302734375,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8855714285714286,12,1.0
0.24998140335083008,0.031247615814208984,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8838571428571429,16,1.0
0.03124713897705078,0.0,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.8144285714285714,101,0.9998571428571429
0.06249642372131348,0.0,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8622857142857143,74,0.9998571428571429
0.07811951637268066,0.015622377395629883,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8841428571428571,14,0.9998571428571429
0.09373855590820312,0.015621662139892578,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8681428571428571,66,1.0
0.12499165534973145,0.031249046325683594,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8737142857142857,52,1.0
0.14061522483825684,0.031247377395629883,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8722857142857143,58,1.0
0.1874864101409912,0.031247854232788086,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8742857142857143,49,0.9998571428571429
0.2031114101409912,0.031246662139892578,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8785714285714286,32,0.9998571428571429
0.2187356948852539,0.0312502384185791,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.8811428571428571,28,1.0
0.2656056880950928,0.031247377395629883,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.8785714285714286,32,1.0
0.031248807907104492,0.0,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.8207142857142857,100,1.0
0.046875953674316406,0.01562190055847168,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.8632857142857143,73,1.0
0.09374213218688965,0.0,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.8822857142857143,22,1.0
0.10936999320983887,0.015620231628417969,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.884,15,1.0
0.14061355590820312,0.015624284744262695,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.8817142857142857,26,1.0
0.1562356948852539,0.03124856948852539,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.8838571428571429,16,1.0
0.18748712539672852,0.031248092651367188,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.8817142857142857,26,1.0
0.21873784065246582,0.03124380111694336,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.8865714285714286,6,1.0
0.2343580722808838,0.04687142372131348,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.8844285714285715,13,1.0
0.2656059265136719,0.03124713897705078,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.8865714285714286,6,1.0
0.03124856948852539,0.015622377395629883,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.7831428571428571,106,1.0
0.06249666213989258,0.015625,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.8342857142857143,99,0.9998571428571429
0.09374427795410156,0.015623807907104492,8.0,15.0,"{'max_depth': 8, 'n_estimators': 15}",0.8638571428571429,71,1.0
0.12499165534973145,0.01562356948852539,8.0,20.0,"{'max_depth': 8, 'n_estimators': 20}",0.8608571428571429,80,1.0
0.14061379432678223,0.015624284744262695,8.0,25.0,"{'max_depth': 8, 'n_estimators': 25}",0.8728571428571429,57,1.0
0.17186331748962402,0.015623807907104492,8.0,30.0,"{'max_depth': 8, 'n_estimators': 30}",0.8707142857142857,59,1.0
0.187485933303833,0.015624523162841797,8.0,35.0,"{'max_depth': 8, 'n_estimators': 35}",0.8767142857142857,45,1.0
0.2187356948852539,0.031247377395629883,8.0,40.0,"{'max_depth': 8, 'n_estimators': 40}",0.8822857142857143,22,1.0
0.2499864101409912,0.03124380111694336,8.0,45.0,"{'max_depth': 8, 'n_estimators': 45}",0.8827142857142857,21,1.0
0.2656056880950928,0.031246662139892578,8.0,50.0,"{'max_depth': 8, 'n_estimators': 50}",0.8857142857142857,11,1.0
0.03125262260437012,0.0,9.0,5.0,"{'max_depth': 9, 'n_estimators': 5}",0.7688571428571429,109,1.0
0.06249070167541504,0.015625,9.0,10.0,"{'max_depth': 9, 'n_estimators': 10}",0.8365714285714285,98,1.0
0.07812166213989258,0.015625,9.0,15.0,"{'max_depth': 9, 'n_estimators': 15}",0.858,88,1.0
0.09374308586120605,0.01562190055847168,9.0,20.0,"{'max_depth': 9, 'n_estimators': 20}",0.8587142857142858,87,1.0
0.14061379432678223,0.015623807907104492,9.0,25.0,"{'max_depth': 9, 'n_estimators': 25}",0.86,85,1.0
0.1718616485595703,0.01562666893005371,9.0,30.0,"{'max_depth': 9, 'n_estimators': 30}",0.8672857142857143,67,1.0
0.18748950958251953,0.015624284744262695,9.0,35.0,"{'max_depth': 9, 'n_estimators': 35}",0.8784285714285714,35,1.0
0.21873211860656738,0.031249523162841797,9.0,40.0,"{'max_depth': 9, 'n_estimators': 40}",0.8828571428571429,20,1.0
0.2499842643737793,0.031245946884155273,9.0,45.0,"{'max_depth': 9, 'n_estimators': 45}",0.8871428571428571,4,1.0
0.28122973442077637,0.031248092651367188,9.0,50.0,"{'max_depth': 9, 'n_estimators': 50}",0.8894285714285715,2,1.0
0.031248807907104492,0.015622615814208984,10.0,5.0,"{'max_depth': 10, 'n_estimators': 5}",0.7775714285714286,108,1.0
0.06249880790710449,0.0,10.0,10.0,"{'max_depth': 10, 'n_estimators': 10}",0.858,88,1.0
0.07811808586120605,0.015625,10.0,15.0,"{'max_depth': 10, 'n_estimators': 15}",0.8528571428571429,94,1.0
0.10936737060546875,0.015624284744262695,10.0,20.0,"{'max_depth': 10, 'n_estimators': 20}",0.8598571428571429,86,1.0
0.14061474800109863,0.015624523162841797,10.0,25.0,"{'max_depth': 10, 'n_estimators': 25}",0.8785714285714286,32,1.0
0.17186951637268066,0.01561737060546875,10.0,30.0,"{'max_depth': 10, 'n_estimators': 30}",0.8781428571428571,36,1.0
0.18748831748962402,0.031249284744262695,10.0,35.0,"{'max_depth': 10, 'n_estimators': 35}",0.8835714285714286,18,1.0
0.2187349796295166,0.015623092651367188,10.0,40.0,"{'max_depth': 10, 'n_estimators': 40}",0.8818571428571429,25,1.0
0.249983549118042,0.031246185302734375,10.0,45.0,"{'max_depth': 10, 'n_estimators': 45}",0.8868571428571429,5,1.0
0.26560449600219727,0.04687237739562988,10.0,50.0,"{'max_depth': 10, 'n_estimators': 50}",0.886,10,1.0
0.03124070167541504,0.0,11.0,5.0,"{'max_depth': 11, 'n_estimators': 5}",0.778,107,1.0
0.04687380790710449,0.015624284744262695,11.0,10.0,"{'max_depth': 11, 'n_estimators': 10}",0.845,97,1.0
0.07811999320983887,0.01562643051147461,11.0,15.0,"{'max_depth': 11, 'n_estimators': 15}",0.8622857142857143,74,1.0
0.09374094009399414,0.015625,11.0,20.0,"{'max_depth': 11, 'n_estimators': 20}",0.8534285714285714,90,1.0
0.12499189376831055,0.0312497615814209,11.0,25.0,"{'max_depth': 11, 'n_estimators': 25}",0.8737142857142857,52,1.0
