mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.0319821834564209,0.004997730255126953,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.6557142857142857,110,0.977
0.05696725845336914,0.012993097305297852,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.7414285714285714,99,0.9997142857142857
0.10493969917297363,0.019988298416137695,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.758,96,1.0
0.13592195510864258,0.014990806579589844,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.7825714285714286,80,1.0
0.16090703010559082,0.022987842559814453,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.7798571428571428,85,1.0
0.21387720108032227,0.024985074996948242,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.782,81,1.0
0.22087359428405762,0.024986982345581055,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.7987142857142857,47,1.0
0.27384376525878906,0.0279843807220459,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8072857142857143,20,1.0
0.30582475662231445,0.0339813232421875,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.803,37,1.0
0.32381486892700195,0.0539698600769043,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8068571428571428,21,1.0
0.036977291107177734,0.006002187728881836,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.6881428571428572,108,0.997
0.07895445823669434,0.015990734100341797,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.7434285714285714,98,1.0
0.10094213485717773,0.011993169784545898,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.7767142857142857,90,1.0
0.12592720985412598,0.016991376876831055,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.7851428571428571,75,1.0
0.1739027500152588,0.021986007690429688,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.7705714285714286,94,1.0
0.19788551330566406,0.020987749099731445,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.7764285714285715,92,1.0
0.24486017227172852,0.0339810848236084,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.792,62,1.0
0.2828388214111328,0.05197000503540039,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.7901428571428571,65,1.0
0.30982184410095215,0.03298139572143555,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.793,56,1.0
0.34780263900756836,0.03797721862792969,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.796,51,1.0
0.04397273063659668,0.004996776580810547,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.7007142857142857,101,0.9994285714285714
0.06196451187133789,0.009994268417358398,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.7462857142857143,97,1.0
0.12392878532409668,0.011992931365966797,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.7767142857142857,90,1.0
0.14791536331176758,0.014995098114013672,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.7902857142857143,64,1.0
0.17789769172668457,0.018990278244018555,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.7811428571428571,83,1.0
0.21487665176391602,0.023985624313354492,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.7835714285714286,78,1.0
0.23286724090576172,0.024985790252685547,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.7995714285714286,45,1.0
0.2928299903869629,0.04297661781311035,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.8014285714285714,44,1.0
0.3028285503387451,0.03398013114929199,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.8041428571428572,31,1.0
0.3787822723388672,0.03697967529296875,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.8065714285714286,23,1.0
0.038977861404418945,0.0059969425201416016,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.697,106,0.999
0.09194684028625488,0.008997678756713867,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.781,84,1.0
0.0939478874206543,0.02998495101928711,8.0,15.0,"{'max_depth': 8, 'n_estimators': 15}",0.819,6,1.0
0.1649034023284912,0.014992475509643555,8.0,20.0,"{'max_depth': 8, 'n_estimators': 20}",0.8207142857142857,4,1.0
0.17789936065673828,0.024984359741210938,8.0,25.0,"{'max_depth': 8, 'n_estimators': 25}",0.8085714285714286,18,1.0
0.23586583137512207,0.0259857177734375,8.0,30.0,"{'max_depth': 8, 'n_estimators': 30}",0.8095714285714286,15,1.0
0.264847993850708,0.02698659896850586,8.0,35.0,"{'max_depth': 8, 'n_estimators': 35}",0.8211428571428572,3,1.0
0.2828373908996582,0.04097747802734375,8.0,40.0,"{'max_depth': 8, 'n_estimators': 40}",0.8201428571428572,5,1.0
0.32981109619140625,0.035979509353637695,8.0,45.0,"{'max_depth': 8, 'n_estimators': 45}",0.8182857142857143,7,1.0
0.3547976016998291,0.04997134208679199,8.0,50.0,"{'max_depth': 8, 'n_estimators': 50}",0.8302857142857143,1,1.0
0.03797769546508789,0.004997968673706055,9.0,5.0,"{'max_depth': 9, 'n_estimators': 5}",0.6815714285714286,109,0.9998571428571429
0.08095335960388184,0.007996082305908203,9.0,10.0,"{'max_depth': 9, 'n_estimators': 10}",0.7608571428571429,95,1.0
0.11093711853027344,0.011993646621704102,9.0,15.0,"{'max_depth': 9, 'n_estimators': 15}",0.7955714285714286,53,1.0
0.16290688514709473,0.015991926193237305,9.0,20.0,"{'max_depth': 9, 'n_estimators': 20}",0.7934285714285715,55,1.0
0.18089580535888672,0.019989967346191406,9.0,25.0,"{'max_depth': 9, 'n_estimators': 25}",0.7897142857142857,66,1.0
0.21687698364257812,0.02598428726196289,9.0,30.0,"{'max_depth': 9, 'n_estimators': 30}",0.7968571428571428,50,1.0
