mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.031248807907104492,0.015624523162841797,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.8361428571428572,100,1.0
0.06249594688415527,0.0156252384185791,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8541428571428571,85,1.0
0.07812190055847168,0.015623092651367188,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8457142857142858,99,1.0
0.09374499320983887,0.015622854232788086,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8518571428571429,87,1.0
0.12499141693115234,0.015622854232788086,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8511428571428571,88,1.0
0.15623927116394043,0.01562809944152832,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8542857142857143,84,1.0
0.17186641693115234,0.015623331069946289,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8495714285714285,90,1.0
0.2031111717224121,0.03124690055847168,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.856,83,1.0
0.23435544967651367,0.031248092651367188,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8635714285714285,8,1.0
0.2343606948852539,0.04687023162841797,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.863,9,1.0
0.03125119209289551,0.0,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.8311428571428572,101,1.0
0.062494516372680664,0.0,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8597142857142858,71,1.0
0.07811951637268066,0.01562356948852539,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8535714285714285,86,1.0
0.09374070167541504,0.015625953674316406,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8671428571428571,2,1.0
0.12499141693115234,0.015624761581420898,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8662857142857143,3,1.0
0.14061403274536133,0.015625,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8677142857142857,1,1.0
0.17186260223388672,0.031247854232788086,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.858,81,1.0
