mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.01560831069946289,0.015624046325683594,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.7918571428571428,109,0.9871428571428571
0.046855926513671875,0.0,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8257142857142857,84,0.9942857142857143
0.06248116493225098,0.015622854232788086,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8717142857142857,8,0.9985714285714286
0.09372663497924805,0.01562356948852539,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8931428571428571,1,0.9974285714285714
0.12499165534973145,0.015623331069946289,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.877,4,0.9992857142857143
0.14061403274536133,0.015622138977050781,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8648571428571429,11,0.9985714285714286
0.15623831748962402,0.015625715255737305,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8642857142857143,12,0.9998571428571429
0.1874866485595703,0.031249284744262695,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8787142857142857,3,1.0
0.2031111717224121,0.031247854232788086,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8751428571428571,6,1.0
0.218735933303833,0.03124713897705078,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.891,2,0.9998571428571429
0.015625715255737305,0.015625476837158203,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.7451428571428571,110,0.9997142857142857
0.04687070846557617,0.015624761581420898,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8091428571428572,105,1.0
0.07811832427978516,0.015624523162841797,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8032857142857143,106,1.0
0.09374403953552246,0.015623092651367188,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8242857142857143,86,1.0
0.10936784744262695,0.015625476837158203,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8332857142857143,71,1.0
0.14061450958251953,0.015624284744262695,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.833,72,1.0
0.17186665534973145,0.015625,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8322857142857143,73,1.0
0.18748831748962402,0.03124713897705078,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8402857142857143,52,1.0
0.21873259544372559,0.03124713897705078,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.8464285714285714,35,1.0
0.2343580722808838,0.0312504768371582,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.871,9,1.0
0.031247615814208984,0.015622377395629883,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.8184285714285714,94,1.0
0.04687333106994629,0.01562356948852539,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.7978571428571428,107,1.0
0.062497615814208984,0.015624523162841797,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.7974285714285714,108,1.0
0.09374451637268066,0.015625953674316406,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.8298571428571428,79,1.0
0.12498974800109863,0.031252145767211914,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.8374285714285714,60,1.0
0.14061188697814941,0.015624761581420898,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.8384285714285714,58,1.0
0.17186498641967773,0.031244993209838867,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.8447142857142858,43,1.0
0.2031097412109375,0.031246185302734375,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.8597142857142858,14,1.0
0.21873211860656738,0.031247615814208984,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.8591428571428571,15,1.0
0.249983549118042,0.031246662139892578,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.8764285714285714,5,1.0
0.031247854232788086,0.0,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.8178571428571428,96,1.0
0.04687237739562988,0.01562643051147461,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.8404285714285714,51,1.0
