mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.031227827072143555,0.0,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.8122857142857143,100,0.9997142857142857
0.04685091972351074,0.01562643051147461,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.8647142857142858,69,1.0
0.07809877395629883,0.015624761581420898,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8717142857142857,23,1.0
0.10934782028198242,0.015624523162841797,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8724285714285714,21,1.0
0.12499380111694336,0.0156252384185791,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.876,7,1.0
0.15624117851257324,0.015629291534423828,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8742857142857143,11,1.0
0.17186617851257324,0.031245708465576172,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8774285714285714,6,1.0
0.2031097412109375,0.031249523162841797,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8718571428571429,22,1.0
0.23436546325683594,0.031239748001098633,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8615714285714285,88,1.0
0.234358549118042,0.046875953674316406,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8664285714285714,63,1.0
0.031247854232788086,0.015622138977050781,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.7772857142857142,109,1.0
0.046872854232788086,0.015622615814208984,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.8435714285714285,98,1.0
0.07812190055847168,0.01563119888305664,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.8835714285714286,1,1.0
0.09374380111694336,0.015626907348632812,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.8638571428571429,79,1.0
0.12499141693115234,0.015625715255737305,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8745714285714286,10,1.0
0.15623879432678223,0.015622854232788086,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8788571428571429,4,1.0
0.1874864101409912,0.015625953674316406,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.8757142857142857,8,1.0
0.203110933303833,0.031247615814208984,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8702857142857143,32,1.0
0.2343590259552002,0.031249523162841797,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.8642857142857143,77,1.0
0.2499833106994629,0.04687142372131348,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.8672857142857143,59,1.0
0.03124403953552246,0.0,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.8014285714285714,101,1.0
0.04686331748962402,0.015633106231689453,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.8468571428571429,90,1.0
0.07812142372131348,0.015624284744262695,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.8615714285714285,88,1.0
0.10936689376831055,0.015624761581420898,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.12499165534973145,0.015622377395629883,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.8728571428571429,20,1.0
0.15623903274536133,0.015623807907104492,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.8705714285714286,31,1.0
0.1874866485595703,0.015623807907104492,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.8675714285714285,54,1.0
0.2187342643737793,0.031247615814208984,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.8637142857142858,80,1.0
0.234358549118042,0.0312497615814209,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.8634285714285714,81,1.0
0.26560473442077637,0.0312497615814209,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.864,78,1.0
0.031246185302734375,0.0,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.7674285714285715,110,1.0
0.04687166213989258,0.015625,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.8364285714285714,99,1.0
0.07812142372131348,0.015622854232788086,8.0,15.0,"{'max_depth': 8, 'n_estimators': 15}",0.8661428571428571,64,1.0
0.10936737060546875,0.015624523162841797,8.0,20.0,"{'max_depth': 8, 'n_estimators': 20}",0.8702857142857143,32,1.0
0.14061498641967773,0.015624284744262695,8.0,25.0,"{'max_depth': 8, 'n_estimators': 25}",0.8798571428571429,2,1.0
0.15623974800109863,0.015634536743164062,8.0,30.0,"{'max_depth': 8, 'n_estimators': 30}",0.8757142857142857,8,1.0
0.18748855590820312,0.031246185302734375,8.0,35.0,"{'max_depth': 8, 'n_estimators': 35}",0.8694285714285714,35,1.0
0.20311284065246582,0.031246185302734375,8.0,40.0,"{'max_depth': 8, 'n_estimators': 40}",0.8688571428571429,43,1.0
0.2343583106994629,0.031249046325683594,8.0,45.0,"{'max_depth': 8, 'n_estimators': 45}",0.8678571428571429,49,1.0
0.2656064033508301,0.031247615814208984,8.0,50.0,"{'max_depth': 8, 'n_estimators': 50}",0.8708571428571429,29,1.0
0.031249284744262695,0.0,9.0,5.0,"{'max_depth': 9, 'n_estimators': 5}",0.786,102,1.0
0.06249690055847168,0.0,9.0,10.0,"{'max_depth': 9, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.07812261581420898,0.01562356948852539,9.0,15.0,"{'max_depth': 9, 'n_estimators': 15}",0.8687142857142857,45,1.0
0.10936498641967773,0.015623807907104492,9.0,20.0,"{'max_depth': 9, 'n_estimators': 20}",0.87,34,1.0
0.14061307907104492,0.015623092651367188,9.0,25.0,"{'max_depth': 9, 'n_estimators': 25}",0.8777142857142857,5,1.0
0.1562364101409912,0.03125309944152832,9.0,30.0,"{'max_depth': 9, 'n_estimators': 30}",0.8792857142857143,3,1.0
0.18748688697814941,0.03124547004699707,9.0,35.0,"{'max_depth': 9, 'n_estimators': 35}",0.8707142857142857,30,1.0
0.21873140335083008,0.031252384185791016,9.0,40.0,"{'max_depth': 9, 'n_estimators': 40}",0.8694285714285714,35,1.0
0.24998235702514648,0.03124833106994629,9.0,45.0,"{'max_depth': 9, 'n_estimators': 45}",0.8672857142857143,59,1.0
0.28122758865356445,0.031249523162841797,9.0,50.0,"{'max_depth': 9, 'n_estimators': 50}",0.871,28,1.0
0.03125309944152832,0.0,10.0,5.0,"{'max_depth': 10, 'n_estimators': 5}",0.786,102,1.0
0.062493324279785156,0.0,10.0,10.0,"{'max_depth': 10, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.09374308586120605,0.0,10.0,15.0,"{'max_depth': 10, 'n_estimators': 15}",0.8622857142857143,82,1.0
0.10937190055847168,0.015627145767211914,10.0,20.0,"{'max_depth': 10, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.14061427116394043,0.0156252384185791,10.0,25.0,"{'max_depth': 10, 'n_estimators': 25}",0.873,14,1.0
0.15624260902404785,0.031238079071044922,10.0,30.0,"{'max_depth': 10, 'n_estimators': 30}",0.8737142857142857,12,1.0
0.1874854564666748,0.015625476837158203,10.0,35.0,"{'max_depth': 10, 'n_estimators': 35}",0.8687142857142857,45,1.0
0.2187340259552002,0.0156252384185791,10.0,40.0,"{'max_depth': 10, 'n_estimators': 40}",0.8688571428571429,43,1.0
0.24998092651367188,0.031246662139892578,10.0,45.0,"{'max_depth': 10, 'n_estimators': 45}",0.8665714285714285,61,1.0
0.24998235702514648,0.04687166213989258,10.0,50.0,"{'max_depth': 10, 'n_estimators': 50}",0.8692857142857143,38,1.0
0.031247615814208984,0.015625476837158203,11.0,5.0,"{'max_depth': 11, 'n_estimators': 5}",0.786,102,1.0
0.06249499320983887,0.0,11.0,10.0,"{'max_depth': 11, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.09374213218688965,0.01562809944152832,11.0,15.0,"{'max_depth': 11, 'n_estimators': 15}",0.8622857142857143,82,1.0
0.09374284744262695,0.015624046325683594,11.0,20.0,"{'max_depth': 11, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.12499284744262695,0.03124856948852539,11.0,25.0,"{'max_depth': 11, 'n_estimators': 25}",0.873,14,1.0
0.15624070167541504,0.03125643730163574,11.0,30.0,"{'max_depth': 11, 'n_estimators': 30}",0.8734285714285714,13,1.0
0.18748760223388672,0.03124547004699707,11.0,35.0,"{'max_depth': 11, 'n_estimators': 35}",0.8684285714285714,47,1.0
0.20311236381530762,0.031245946884155273,11.0,40.0,"{'max_depth': 11, 'n_estimators': 40}",0.8681428571428571,48,1.0
0.25119996070861816,0.031248807907104492,11.0,45.0,"{'max_depth': 11, 'n_estimators': 45}",0.8665714285714285,61,1.0
0.2656116485595703,0.031247854232788086,11.0,50.0,"{'max_depth': 11, 'n_estimators': 50}",0.8694285714285714,35,1.0
0.03245091438293457,0.0,12.0,5.0,"{'max_depth': 12, 'n_estimators': 5}",0.786,102,1.0
0.04687237739562988,0.015624523162841797,12.0,10.0,"{'max_depth': 12, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.07812356948852539,0.015621662139892578,12.0,15.0,"{'max_depth': 12, 'n_estimators': 15}",0.8622857142857143,82,1.0
0.09374117851257324,0.015625476837158203,12.0,20.0,"{'max_depth': 12, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.12499380111694336,0.031245946884155273,12.0,25.0,"{'max_depth': 12, 'n_estimators': 25}",0.873,14,1.0
0.15623760223388672,0.01562976837158203,12.0,30.0,"{'max_depth': 12, 'n_estimators': 30}",0.8715714285714286,24,1.0
0.18749403953552246,0.01562786102294922,12.0,35.0,"{'max_depth': 12, 'n_estimators': 35}",0.8678571428571429,49,1.0
0.2187349796295166,0.031245946884155273,12.0,40.0,"{'max_depth': 12, 'n_estimators': 40}",0.8675714285714285,54,1.0
0.2343606948852539,0.031247615814208984,12.0,45.0,"{'max_depth': 12, 'n_estimators': 45}",0.866,65,1.0
0.28122997283935547,0.031247854232788086,12.0,50.0,"{'max_depth': 12, 'n_estimators': 50}",0.869,39,1.0
0.031241655349731445,0.015625,13.0,5.0,"{'max_depth': 13, 'n_estimators': 5}",0.786,102,1.0
0.04687047004699707,0.0156252384185791,13.0,10.0,"{'max_depth': 13, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.09373712539672852,0.0156252384185791,13.0,15.0,"{'max_depth': 13, 'n_estimators': 15}",0.8622857142857143,82,1.0
0.10936713218688965,0.015625,13.0,20.0,"{'max_depth': 13, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.1406104564666748,0.015625715255737305,13.0,25.0,"{'max_depth': 13, 'n_estimators': 25}",0.873,14,1.0
0.15624570846557617,0.031241655349731445,13.0,30.0,"{'max_depth': 13, 'n_estimators': 30}",0.8715714285714286,24,1.0
0.17186474800109863,0.03125,13.0,35.0,"{'max_depth': 13, 'n_estimators': 35}",0.8678571428571429,49,1.0
0.20311236381530762,0.03125572204589844,13.0,40.0,"{'max_depth': 13, 'n_estimators': 40}",0.8675714285714285,54,1.0
0.24998164176940918,0.03124856948852539,13.0,45.0,"{'max_depth': 13, 'n_estimators': 45}",0.866,65,1.0
0.28123021125793457,0.03124833106994629,13.0,50.0,"{'max_depth': 13, 'n_estimators': 50}",0.869,39,1.0
0.04686594009399414,0.0,14.0,5.0,"{'max_depth': 14, 'n_estimators': 5}",0.786,102,1.0
0.06249403953552246,0.0,14.0,10.0,"{'max_depth': 14, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.09374284744262695,0.015622854232788086,14.0,15.0,"{'max_depth': 14, 'n_estimators': 15}",0.8622857142857143,82,1.0
0.10936927795410156,0.015633106231689453,14.0,20.0,"{'max_depth': 14, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.14061641693115234,0.015633106231689453,14.0,25.0,"{'max_depth': 14, 'n_estimators': 25}",0.873,14,1.0
0.15622973442077637,0.03125333786010742,14.0,30.0,"{'max_depth': 14, 'n_estimators': 30}",0.8715714285714286,24,1.0
0.1874864101409912,0.015624761581420898,14.0,35.0,"{'max_depth': 14, 'n_estimators': 35}",0.8678571428571429,49,1.0
0.2187330722808838,0.03125,14.0,40.0,"{'max_depth': 14, 'n_estimators': 40}",0.8675714285714285,54,1.0
0.2343602180480957,0.031247377395629883,14.0,45.0,"{'max_depth': 14, 'n_estimators': 45}",0.866,65,1.0
0.2499842643737793,0.04687047004699707,14.0,50.0,"{'max_depth': 14, 'n_estimators': 50}",0.869,39,1.0
0.031241416931152344,0.0,15.0,5.0,"{'max_depth': 15, 'n_estimators': 5}",0.786,102,1.0
0.04686236381530762,0.015623092651367188,15.0,10.0,"{'max_depth': 15, 'n_estimators': 10}",0.8452857142857143,91,1.0
0.09374427795410156,0.015624284744262695,15.0,15.0,"{'max_depth': 15, 'n_estimators': 15}",0.8622857142857143,82,1.0
0.10936760902404785,0.015622854232788086,15.0,20.0,"{'max_depth': 15, 'n_estimators': 20}",0.8645714285714285,70,1.0
0.12499046325683594,0.031247854232788086,15.0,25.0,"{'max_depth': 15, 'n_estimators': 25}",0.873,14,1.0
0.171860933303833,0.01562666893005371,15.0,30.0,"{'max_depth': 15, 'n_estimators': 30}",0.8715714285714286,24,1.0
0.1874840259552002,0.015624284744262695,15.0,35.0,"{'max_depth': 15, 'n_estimators': 35}",0.8678571428571429,49,1.0
0.2187347412109375,0.03124833106994629,15.0,40.0,"{'max_depth': 15, 'n_estimators': 40}",0.8675714285714285,54,1.0
0.23435544967651367,0.031247854232788086,15.0,45.0,"{'max_depth': 15, 'n_estimators': 45}",0.866,65,1.0
0.24998092651367188,0.031261444091796875,15.0,50.0,"{'max_depth': 15, 'n_estimators': 50}",0.869,39,1.0
