mean_fit_time,mean_score_time,param_max_depth,param_n_estimators,params,mean_test_score,rank_test_score,mean_train_score
0.027966976165771484,0.005003213882446289,5.0,5.0,"{'max_depth': 5, 'n_estimators': 5}",0.5805714285714285,110,1.0
0.047972679138183594,0.00799703598022461,5.0,10.0,"{'max_depth': 5, 'n_estimators': 10}",0.7697142857142857,89,1.0
0.0699610710144043,0.010993003845214844,5.0,15.0,"{'max_depth': 5, 'n_estimators': 15}",0.8638571428571429,11,1.0
0.09794116020202637,0.013992786407470703,5.0,20.0,"{'max_depth': 5, 'n_estimators': 20}",0.8651428571428571,1,1.0
0.11693429946899414,0.017989158630371094,5.0,25.0,"{'max_depth': 5, 'n_estimators': 25}",0.8287142857142857,23,1.0
0.13692188262939453,0.019989490509033203,5.0,30.0,"{'max_depth': 5, 'n_estimators': 30}",0.8285714285714286,24,1.0
0.16390705108642578,0.024987459182739258,5.0,35.0,"{'max_depth': 5, 'n_estimators': 35}",0.8352857142857143,22,1.0
0.17490005493164062,0.026987075805664062,5.0,40.0,"{'max_depth': 5, 'n_estimators': 40}",0.8277142857142857,27,1.0
0.20188593864440918,0.03098154067993164,5.0,45.0,"{'max_depth': 5, 'n_estimators': 45}",0.8172857142857143,39,1.0
0.22087335586547852,0.032988548278808594,5.0,50.0,"{'max_depth': 5, 'n_estimators': 50}",0.8178571428571428,38,1.0
0.02698540687561035,0.004998207092285156,6.0,5.0,"{'max_depth': 6, 'n_estimators': 5}",0.5815714285714285,109,1.0
0.04797244071960449,0.007996559143066406,6.0,10.0,"{'max_depth': 6, 'n_estimators': 10}",0.7315714285714285,99,1.0
0.07595586776733398,0.011995315551757812,6.0,15.0,"{'max_depth': 6, 'n_estimators': 15}",0.843,13,1.0
0.09094595909118652,0.013993024826049805,6.0,20.0,"{'max_depth': 6, 'n_estimators': 20}",0.828,25,1.0
0.11393427848815918,0.016992807388305664,6.0,25.0,"{'max_depth': 6, 'n_estimators': 25}",0.8278571428571428,26,1.0
0.1319255828857422,0.020986557006835938,6.0,30.0,"{'max_depth': 6, 'n_estimators': 30}",0.8164285714285714,40,1.0
0.15691184997558594,0.02398538589477539,6.0,35.0,"{'max_depth': 6, 'n_estimators': 35}",0.827,28,1.0
0.1779005527496338,0.02798295021057129,6.0,40.0,"{'max_depth': 6, 'n_estimators': 40}",0.8018571428571428,59,1.0
0.20188450813293457,0.03198385238647461,6.0,45.0,"{'max_depth': 6, 'n_estimators': 45}",0.7982857142857143,60,1.0
0.21987318992614746,0.03298234939575195,6.0,50.0,"{'max_depth': 6, 'n_estimators': 50}",0.7978571428571428,61,1.0
0.027983665466308594,0.004998445510864258,7.0,5.0,"{'max_depth': 7, 'n_estimators': 5}",0.6144285714285714,100,1.0
0.05096745491027832,0.008996248245239258,7.0,10.0,"{'max_depth': 7, 'n_estimators': 10}",0.761,98,1.0
0.0739588737487793,0.010993003845214844,7.0,15.0,"{'max_depth': 7, 'n_estimators': 15}",0.8648571428571429,2,1.0
0.08994865417480469,0.014991283416748047,7.0,20.0,"{'max_depth': 7, 'n_estimators': 20}",0.8481428571428572,12,1.0
0.11493396759033203,0.017990589141845703,7.0,25.0,"{'max_depth': 7, 'n_estimators': 25}",0.8245714285714286,29,1.0
0.13492417335510254,0.020987510681152344,7.0,30.0,"{'max_depth': 7, 'n_estimators': 30}",0.8098571428571428,41,1.0
0.15990829467773438,0.02298903465270996,7.0,35.0,"{'max_depth': 7, 'n_estimators': 35}",0.806,50,1.0
0.18389010429382324,0.027985095977783203,7.0,40.0,"{'max_depth': 7, 'n_estimators': 40}",0.7972857142857143,62,1.0
0.20388340950012207,0.031982421875,7.0,45.0,"{'max_depth': 7, 'n_estimators': 45}",0.7858571428571428,80,1.0
0.22087335586547852,0.03397989273071289,7.0,50.0,"{'max_depth': 7, 'n_estimators': 50}",0.7898571428571428,71,1.0
0.028982877731323242,0.004998445510864258,8.0,5.0,"{'max_depth': 8, 'n_estimators': 5}",0.6144285714285714,100,1.0
0.04597353935241699,0.008996725082397461,8.0,10.0,"{'max_depth': 8, 'n_estimators': 10}",0.7611428571428571,90,1.0
0.07095861434936523,0.014992713928222656,8.0,15.0,"{'max_depth': 8, 'n_estimators': 15}",0.8647142857142858,3,1.0
0.09094643592834473,0.013992547988891602,8.0,20.0,"{'max_depth': 8, 'n_estimators': 20}",0.8378571428571429,14,1.0
0.11393523216247559,0.017990827560424805,8.0,25.0,"{'max_depth': 8, 'n_estimators': 25}",0.8181428571428572,30,1.0
0.13392376899719238,0.019989728927612305,8.0,30.0,"{'max_depth': 8, 'n_estimators': 30}",0.8078571428571428,42,1.0
0.15990781784057617,0.02398848533630371,8.0,35.0,"{'max_depth': 8, 'n_estimators': 35}",0.802,51,1.0
